学生ID,学部,性別,身長cm,一人暮らし,通学時間min,睡眠時間h,SNS時間h,勉強時間h,アルバイト時間week,出席率,朝食日数week,テスト点,世帯年収万円
26B0296,社会福祉学部,男,167.7,はい,27.0,6.3,2.7,0.8,12,76,6,58,965
26B0297,文学部,男,166.5,いいえ,57.0,7.2,3.9,2.1,5,78,4,65,622
26B0298,社会福祉学部,女,151.3,はい,20.0,8.0,0.0,4.3,19,100,7,65,759
26B0299,社会福祉学部,男,173.7,はい,23.0,8.7,1.7,2.0,14,92,6,54,319
26B0300,経済学部,女,158.8,いいえ,22.0,7.5,2.4,2.1,0,82,3,58,396
26B0301,文学部,女,164.3,はい,14.0,8.2,1.8,1.0,25,82,3,40,586
26B0302,文学部,女,155.0,いいえ,58.0,6.2,4.5,0.0,16,79,3,33,421
26B0303,文学部,男,178.3,いいえ,60.0,6.8,0.6,2.3,8,85,7,54,337
26B0304,経済学部,女,158.4,いいえ,87.0,6.4,0.8,2.3,12,93,6,73,448
26B0305,経済学部,女,154.3,いいえ,60.0,7.1,3.2,1.7,4,87,2,53,363
26B0306,社会福祉学部,女,160.3,はい,11.0,8.9,0.0,1.7,6,90,7,60,582
26B0307,社会福祉学部,女,159.6,いいえ,71.0,7.2,4.6,1.5,13,82,4,60,382
26B0308,経済学部,男,172.2,はい,12.0,5.6,5.8,0.8,16,60,2,52,126
26B0309,文学部,女,153.0,はい,11.0,6.4,3.6,2.4,12,78,3,67,1234
26B0310,文学部,男,169.9,はい,18.0,6.2,5.1,1.2,30,74,4,55,555
26B0311,文学部,男,169.4,いいえ,71.0,6.6,3.6,0.7,12,90,4,64,734
26B0312,経済学部,男,174.9,いいえ,68.0,7.7,3.2,2.2,6,88,3,70,215
26B0313,経済学部,女,165.2,いいえ,40.0,6.6,4.9,0.0,0,73,2,46,323
26B0314,文学部,女,162.5,いいえ,43.0,7.5,5.3,0.2,7,84,5,45,554
26B0315,文学部,女,162.0,いいえ,17.0,7.5,3.1,1.7,19,85,6,50,1536
26B0316,文学部,女,164.2,いいえ,57.0,5.7,6.0,1.4,18,72,4,51,663
26B0317,文学部,女,164.9,いいえ,68.0,6.4,4.9,1.3,7,76,3,56,447
26B0318,社会福祉学部,男,168.2,いいえ,41.0,6.2,4.6,2.2,5,92,3,52,597
26B0319,文学部,女,150.6,はい,9.0,7.6,2.4,2.7,19,90,7,59,278
26B0320,経済学部,女,158.5,いいえ,72.0,6.8,4.0,1.2,8,70,2,47,330
26B0321,経済学部,女,166.6,いいえ,35.0,6.0,6.0,0.0,11,76,3,28,802
26B0322,文学部,女,150.0,いいえ,76.0,5.7,2.6,1.2,15,83,4,61,565
26B0323,経済学部,男,164.8,はい,24.0,7.3,1.7,1.7,15,84,5,64,603
26B0324,文学部,女,157.9,いいえ,57.0,6.5,5.8,0.1,9,85,4,43,966
26B0325,経済学部,女,154.2,はい,19.0,7.8,1.3,1.0,20,78,6,73,603
26B0326,経済学部,男,176.5,はい,10.0,6.5,4.2,0.5,27,89,5,52,265
26B0327,経済学部,女,158.0,いいえ,36.0,7.7,3.3,0.4,9,71,2,52,1176
26B0328,経済学部,男,175.6,はい,17.0,7.5,3.0,1.5,20,81,3,43,754
26B0329,経済学部,女,159.4,いいえ,60.0,5.4,1.7,1.9,10,84,2,69,901
26B0330,社会福祉学部,男,173.0,いいえ,82.0,7.0,1.6,2.5,20,85,7,60,424
26B0331,経済学部,女,150.5,はい,14.0,6.8,2.1,1.0,16,74,1,52,688
26B0332,社会福祉学部,女,153.7,いいえ,45.0,7.1,2.6,1.4,21,88,3,63,1153
26B0333,経済学部,男,158.8,いいえ,56.0,6.4,3.2,2.5,4,92,4,66,414
26B0334,文学部,女,153.0,はい,12.0,5.1,2.5,0.4,15,71,2,26,816
26B0335,文学部,男,167.3,はい,5.0,6.3,5.0,1.0,24,76,2,45,1078
26B0336,文学部,男,172.6,いいえ,90.0,6.3,4.3,0.8,5,73,4,59,1338
26B0337,社会福祉学部,女,150.7,いいえ,96.0,7.5,0.3,1.5,7,89,5,63,316
26B0338,経済学部,女,168.2,いいえ,77.0,6.6,3.0,1.4,7,86,5,63,332
26B0339,文学部,男,177.9,いいえ,38.0,5.8,2.8,1.4,1,76,3,59,379
26B0340,経済学部,女,151.5,いいえ,51.0,6.1,8.9,0.0,5,59,0,42,550
26B0341,社会福祉学部,男,159.6,いいえ,45.0,6.3,3.3,1.1,0,86,2,59,520
26B0342,文学部,女,148.0,いいえ,65.0,7.7,1.3,1.6,17,88,6,56,587
26B0343,経済学部,女,159.4,はい,27.0,6.9,2.8,1.7,24,90,4,66,690
26B0344,経済学部,女,150.2,いいえ,5.0,6.9,1.4,1.9,7,91,3,32,382
26B0345,経済学部,男,168.9,はい,18.0,6.9,2.5,1.0,20,79,4,62,723
26B0346,文学部,男,174.0,いいえ,61.0,7.3,4.5,1.9,18,86,3,56,329
26B0347,文学部,男,172.9,いいえ,61.0,7.5,2.4,2.5,4,97,7,86,504
26B0348,文学部,男,175.0,はい,13.0,6.0,3.2,1.8,19,79,3,60,280
26B0349,文学部,男,162.9,いいえ,33.0,6.6,6.0,0.5,18,70,0,47,1202
26B0350,経済学部,女,161.6,いいえ,78.0,6.7,4.2,2.4,15,87,4,50,159
26B0351,社会福祉学部,男,174.8,いいえ,62.0,5.2,4.2,2.0,10,82,0,49,422
26B0352,社会福祉学部,女,163.3,はい,25.0,6.4,0.8,2.8,16,95,7,56,271
26B0353,文学部,女,162.6,いいえ,55.0,8.8,1.6,1.5,9,88,7,59,715
26B0354,経済学部,男,163.0,はい,18.0,8.7,2.7,2.1,19,88,5,50,752
26B0355,経済学部,女,143.0,はい,18.0,7.1,2.2,2.3,10,86,5,66,499
26B0356,経済学部,女,159.8,いいえ,69.0,7.5,2.2,2.3,21,99,6,68,329
26B0357,文学部,女,167.2,いいえ,22.0,6.4,3.2,0.6,15,74,3,56,274
26B0358,経済学部,男,166.0,いいえ,46.0,6.0,4.7,1.1,9,83,3,47,376
26B0359,経済学部,男,165.9,いいえ,43.0,7.2,3.4,2.2,17,87,4,69,559
26B0360,社会福祉学部,男,171.7,いいえ,54.0,6.8,2.2,1.2,17,73,2,62,986
26B0361,経済学部,男,177.1,はい,25.0,7.7,1.4,3.3,15,83,7,57,688
26B0362,経済学部,女,162.0,いいえ,11.0,7.0,4.2,1.5,4,75,4,50,939
26B0363,経済学部,女,150.6,いいえ,66.0,6.1,4.1,1.2,3,74,4,49,539
26B0364,経済学部,女,155.0,いいえ,84.0,7.7,4.4,1.3,6,91,7,69,522
26B0365,文学部,男,167.3,いいえ,37.0,6.8,1.2,2.2,9,81,5,58,665
26B0366,文学部,女,161.1,いいえ,58.0,6.2,1.9,0.0,9,87,5,54,634
26B0367,社会福祉学部,女,162.2,いいえ,37.0,7.8,4.4,1.4,24,79,5,64,404
26B0368,文学部,男,165.4,いいえ,59.0,7.3,2.2,2.0,10,88,5,57,765
26B0369,経済学部,女,152.8,いいえ,49.0,8.1,3.8,0.6,11,71,3,52,650
26B0370,文学部,男,172.4,いいえ,82.0,6.9,4.5,1.2,7,76,4,50,421
26B0371,経済学部,女,156.4,いいえ,41.0,7.5,2.7,0.9,19,73,4,57,728
26B0372,文学部,男,166.1,はい,26.0,7.3,2.0,0.0,22,89,1,34,436
26B0373,経済学部,女,155.0,いいえ,37.0,6.3,2.0,1.9,12,78,3,70,510
26B0374,文学部,男,174.3,いいえ,41.0,8.6,2.3,3.8,10,97,6,68,451
26B0375,社会福祉学部,男,168.6,いいえ,57.0,6.5,2.1,2.7,10,89,6,75,568
26B0376,社会福祉学部,男,170.0,いいえ,14.0,5.8,2.2,1.4,11,82,4,54,819
26B0377,文学部,女,153.0,いいえ,32.0,7.2,1.1,1.9,7,85,2,46,308
26B0378,経済学部,男,174.3,はい,31.0,8.2,3.0,2.2,21,91,5,57,677
26B0379,経済学部,男,167.6,いいえ,37.0,8.2,1.6,2.0,17,76,5,55,498
26B0380,経済学部,男,172.3,はい,20.0,7.8,3.0,3.3,16,80,5,61,400
26B0381,経済学部,女,158.7,いいえ,19.0,7.7,1.5,2.8,14,89,6,72,318
26B0382,経済学部,男,168.4,いいえ,56.0,6.3,4.1,0.3,18,82,2,53,752
26B0383,社会福祉学部,男,165.7,はい,20.0,6.3,4.1,0.0,17,76,0,38,474
26B0384,経済学部,男,170.2,いいえ,56.0,7.7,3.4,2.4,0,80,5,63,625
26B0385,経済学部,女,155.8,いいえ,5.0,7.2,0.8,0.9,4,83,3,64,646
26B0386,社会福祉学部,回答しない,170.8,いいえ,34.0,7.6,2.0,1.2,13,78,5,59,1119
26B0387,社会福祉学部,女,152.6,はい,9.0,7.7,4.0,0.6,12,80,3,46,1097
26B0388,経済学部,女,162.2,いいえ,73.0,7.6,4.7,1.9,11,82,5,58,850
26B0389,文学部,男,178.0,はい,25.0,8.2,3.0,1.5,13,83,6,54,871
26B0390,文学部,男,174.7,はい,26.0,8.0,1.8,2.2,16,86,3,72,1536
26B0391,文学部,女,162.2,はい,25.0,9.1,1.3,1.4,15,94,5,68,683
26B0392,経済学部,男,169.2,いいえ,75.0,5.0,4.8,0.0,8,75,0,58,775
26B0393,社会福祉学部,回答しない,167.5,いいえ,84.0,7.3,3.1,0.3,8,80,0,39,743
26B0394,経済学部,男,173.5,いいえ,34.0,7.8,2.9,2.7,12,100,5,72,426
26B0395,文学部,女,148.1,いいえ,61.0,5.9,4.6,2.1,9,83,6,62,588
26B0396,社会福祉学部,女,155.8,いいえ,64.0,7.3,1.8,2.6,0,77,6,66,610
26B0397,経済学部,女,150.6,はい,11.0,7.2,0.9,1.4,17,81,2,66,626
26B0398,社会福祉学部,女,146.6,はい,15.0,5.8,2.6,2.0,21,73,4,66,626
26B0399,経済学部,女,157.7,はい,24.0,7.2,2.6,1.2,14,86,4,52,554
26B0400,経済学部,女,160.5,いいえ,58.0,4.6,3.2,0.7,7,74,3,41,795
